annonce_id,date_publication,titre,ville,quartier,type_bien,transaction,prix,surface,nb_chambres,nb_salles_bain,etage,annee_construction,prix_m2,age_bien,categorie_prix,categorie_surface,annee_publication,mois_publication,trimestre_publication
ANO001440,2023-01-15,Beau Villa Meknès,Meknes,Ville Nouvelle,Villa,Vente,2763954,262.36,4,2,0,2007,10535,19,Haut Standing,Grand,2023,1,1
ANO001004,2023-01-17,Beau Bureau Marrakech,Marrakech,Medina,Bureau,Vente,1011550,116.25,0,0,7,2006,8702,20,Haut Standing,Moyen,2023,1,1
ANO000942,2023-01-18,Villa à vente - Meknès,Meknes,Ville Nouvelle,Villa,Vente,3892215,245.81,5,3,0,2023,15834,3,Luxe,Grand,2023,1,1
ANO000861,2023-01-18,Bureau moderne Oujda,Oujda,Hay Qods,Bureau,Vente,1348842,135.57,0,0,6,2009,9949,17,Haut Standing,Moyen,2023,1,1
ANO000752,2023-01-21,Terrain 149m² Tanger,Tanger,Iberia,Terrain,Vente,796373,149.71,0,0,0,2012,5319,14,Moyen,Moyen,2023,1,1
ANO000564,2023-01-23,Villa moderne Oujda,Oujda,Hay Qods,Villa,Vente,5611643,296.94,5,3,0,2006,18898,20,Luxe,Grand,2023,1,1
ANO000677,2023-01-23,Appartement moderne Agadir,Agadir,Talborjt,Appartement,Vente,2083864,72.71,2,1,6,2016,28660,10,Haut Standing,Petit,2023,1,1
ANO000324,2023-01-23,Beau Appartement Fès,Fes,Ville Nouvelle,Appartement,Vente,378307,88.2,2,2,0,1989,4289,37,Moyen,Moyen,2023,1,1
ANO000762,2023-01-24,Beau Appartement Rabat,Rabat,Hay Riad,Appartement,Vente,432260,73.39,2,1,4,2006,5890,20,Moyen,Petit,2023,1,1
ANO000678,2023-01-24,Villa à vente - Tétouan,Tetouan,M'diq,Villa,Vente,1713227,288.11,4,2,0,2014,5946,12,Haut Standing,Grand,2023,1,1
ANO000775,2023-01-24,Villa 383m² Hay Essalam,Kenitra,Hay Essalam,Villa,Vente,2428886,383.96,3,1,0,2009,6326,17,Haut Standing,Grand,2023,1,1
ANO000361,2023-01-24,Appartement à location - Casablanca,Casablanca,Anfa,Appartement,Location,7442,76.27,1,1,0,1995,98,31,Economique,Petit,2023,1,1
ANO001236,2023-01-25,Beau Appartement Agadir,Agadir,Talborjt,Appartement,Location,2348,71.89,2,1,2,2020,33,6,Economique,Petit,2023,1,1
ANO000636,2023-01-25,Villa 124m² Hay Qods,Oujda,Hay Qods,Villa,Vente,6671575,124.33,5,2,0,2000,53660,26,Luxe,Moyen,2023,1,1
ANO000643,2023-01-26,Villa 227m² Oujda,Oujda,Hay Qods,Villa,Vente,934856,227.12,5,2,0,2009,4116,17,Moyen,Grand,2023,1,1
ANO000460,2023-01-27,Appartement moderne Meknès,Meknes,Hamria,Appartement,Vente,674789,69.86,1,1,0,2024,9659,2,Moyen,Petit,2023,1,1
ANO000621,2023-01-27,Beau Villa Tanger,Tanger,Malabata,Villa,Vente,2132846,314.86,4,3,0,2016,6774,10,Haut Standing,Grand,2023,1,1
ANO001148,2023-01-27,Beau Appartement Tanger,Tanger,Iberia,Appartement,Vente,1754351,88.52,4,3,4,2022,19819,4,Haut Standing,Moyen,2023,1,1
ANO000478,2023-01-27,Terrain 403m² Marrakech,Marrakech,Medina,Terrain,Vente,1044721,403.26,0,0,0,2005,2591,21,Haut Standing,Grand,2023,1,1
ANO000749,2023-01-28,Beau Appartement Rabat,Rabat,Ocean,Appartement,Vente,744066,87.61,3,1,0,1986,8493,40,Moyen,Moyen,2023,1,1
ANO001464,2023-01-28,Beau Terrain Rabat,Rabat,Hay Riad,Terrain,Vente,975590,361.79,0,0,0,2012,2697,14,Moyen,Grand,2023,1,1
ANO001488,2023-01-29,Terrain 401m² Hay Qods,Oujda,Hay Qods,Terrain,Vente,1354809,401.17,0,0,0,2019,3377,7,Haut Standing,Grand,2023,1,1
ANO000031,2023-01-30,Appartement moderne Oujda,Oujda,Centre,Appartement,Vente,561649,109.22,3,1,0,2012,5142,14,Moyen,Moyen,2023,1,1
ANO000179,2023-01-30,Beau Appartement Marrakech,Marrakech,Targa,Appartement,Vente,471780,86.18,3,1,8,2003,5474,23,Moyen,Moyen,2023,1,1
ANO000045,2023-01-30,Appartement moderne Casablanca,Casablanca,Maarif,Appartement,Vente,422524,96.84,3,1,3,1986,4363,40,Moyen,Moyen,2023,1,1
ANO001235,2023-01-31,Beau Appartement Oujda,Oujda,Hay Qods,Appartement,Location,6534,64.08,3,1,3,2012,102,14,Economique,Petit,2023,1,1
ANO000766,2023-01-31,Villa à location - Tétouan,Tetouan,Centre,Villa,Location,320000,283.47,5,3,0,2021,1129,5,Moyen,Grand,2023,1,1
ANO000272,2023-02-01,Beau Villa Tanger,Tanger,Iberia,Villa,Location,9193,332.55,3,2,0,2010,28,16,Economique,Grand,2023,2,1
ANO000394,2023-02-02,Villa moderne Marrakech,Marrakech,Medina,Villa,Location,17378,264.39,4,2,0,2008,66,18,Economique,Grand,2023,2,1
ANO001356,2023-02-03,Appartement à location - Meknès,Meknes,Ville Nouvelle,Appartement,Location,1896,89.73,4,2,2,2012,21,14,Economique,Moyen,2023,2,1
ANO000871,2023-02-03,Beau Appartement Oujda,Oujda,Hay Qods,Appartement,Vente,2260609,56.56,4,3,3,2008,39968,18,Haut Standing,Petit,2023,2,1
ANO001034,2023-02-03,Terrain moderne Fès,Fes,Ville Nouvelle,Terrain,Location,180,215.17,0,0,0,2012,1,14,Economique,Grand,2023,2,1
ANO000109,2023-02-04,Appartement moderne Rabat,Rabat,Hay Riad,Appartement,Vente,429278,54.65,2,1,1,2017,7855,9,Moyen,Petit,2023,2,1
ANO000429,2023-02-05,Appartement moderne Rabat,Rabat,Ocean,Appartement,Location,1823,51.72,2,2,3,1972,35,54,Economique,Petit,2023,2,1
ANO000649,2023-02-06,Beau Appartement Rabat,Rabat,Agdal,Appartement,Location,8995,75.76,4,2,7,2005,119,21,Economique,Petit,2023,2,1
ANO000747,2023-02-07,Beau Appartement Agadir,Agadir,Talborjt,Appartement,Vente,501156,102.16,2,1,0,2010,4906,16,Moyen,Moyen,2023,2,1
ANO000291,2023-02-08,Beau Villa Tétouan,Tetouan,M'diq,Villa,Vente,5734579,186.14,4,2,0,2010,30808,16,Luxe,Grand,2023,2,1
ANO001138,2023-02-08,Beau Villa Tétouan,Tetouan,M'diq,Villa,Vente,5395386,409.32,4,3,0,2003,13181,23,Luxe,Grand,2023,2,1
ANO001443,2023-02-08,Appartement à location - Meknès,Meknes,Ville Nouvelle,Appartement,Location,7047,107.51,1,1,1,2023,66,3,Economique,Moyen,2023,2,1
ANO001276,2023-02-08,Terrain 158m² Hay Essalam,Kenitra,Hay Essalam,Terrain,Vente,1151515,158.86,0,0,0,2013,7249,13,Haut Standing,Grand,2023,2,1
ANO000633,2023-02-09,Terrain 491m² Centre,Kenitra,Centre,Terrain,Vente,722361,491.84,0,0,0,2014,1469,12,Moyen,Grand,2023,2,1
ANO000066,2023-02-10,Beau Villa Tanger,Tanger,Iberia,Villa,Vente,2392659,179.29,5,2,0,2011,13345,15,Haut Standing,Grand,2023,2,1
ANO001485,2023-02-10,Villa moderne Rabat,Rabat,Hay Riad,Villa,Vente,2774836,273.73,5,3,0,2019,10137,7,Haut Standing,Grand,2023,2,1
ANO001091,2023-02-10,Beau Villa Tanger,Tanger,Iberia,Villa,Vente,5676499,180.16,4,3,0,2017,31508,9,Luxe,Grand,2023,2,1
ANO000895,2023-02-11,Beau Bureau Meknès,Meknes,Ville Nouvelle,Bureau,Vente,1068221,149.27,0,0,4,2012,7156,14,Haut Standing,Moyen,2023,2,1
ANO001208,2023-02-12,Beau Duplex Fès,Fes,Zouagha,Duplex,Vente,2010888,51.09,3,2,6,2000,39360,26,Haut Standing,Petit,2023,2,1
ANO000500,2023-02-12,Beau Terrain Tétouan,Tetouan,M'diq,Terrain,Vente,1162510,422.89,0,0,0,2014,2749,12,Haut Standing,Grand,2023,2,1
ANO001076,2023-02-13,Appartement moderne Fès,Fes,Ville Nouvelle,Appartement,Location,1726,63.83,3,1,8,2018,27,8,Economique,Petit,2023,2,1
ANO000329,2023-02-13,Beau Bureau Oujda,Oujda,Centre,Bureau,Vente,1198559,73.67,0,0,6,2022,16269,4,Haut Standing,Petit,2023,2,1
ANO000112,2023-02-13,Appartement 109m² Tanger,Tanger,Iberia,Appartement,Location,1875,109.38,3,2,0,2008,17,18,Economique,Moyen,2023,2,1
ANO000527,2023-02-15,Appartement moderne Tétouan,Tetouan,Centre,Appartement,Vente,461849,64.74,2,2,0,2011,7134,15,Moyen,Petit,2023,2,1
ANO000873,2023-02-16,Villa moderne Marrakech,Marrakech,Medina,Villa,Vente,4898739,256.56,4,3,0,2008,19094,18,Luxe,Grand,2023,2,1
ANO000542,2023-02-16,Villa à vente - Agadir,Agadir,Hay Mohammadi,Villa,Vente,1865928,399.86,5,2,0,2018,4666,8,Haut Standing,Grand,2023,2,1
ANO001282,2023-02-16,Beau Bureau Marrakech,Marrakech,Medina,Bureau,Location,2605,184.35,0,0,2,2016,14,10,Economique,Grand,2023,2,1
ANO001256,2023-02-17,Villa moderne Marrakech,Marrakech,Hivernage,Villa,Location,24106,171.97,4,2,0,2020,140,6,Economique,Grand,2023,2,1
ANO000925,2023-02-18,Appartement 46m² M'diq,Tetouan,M'diq,Appartement,Location,7717,46.28,3,2,0,2011,167,15,Economique,Petit,2023,2,1
ANO000782,2023-02-18,Appartement 31m² Marrakech,Marrakech,Medina,Appartement,Location,1948,31.17,2,1,1,2018,62,8,Economique,Petit,2023,2,1
ANO001302,2023-02-18,Beau Appartement Tétouan,Tetouan,M'diq,Appartement,Vente,436893,125.37,2,2,1,2011,3485,15,Moyen,Moyen,2023,2,1
ANO000073,2023-02-18,Beau Appartement Tanger,Tanger,Iberia,Appartement,Location,1829,79.08,2,2,2,2006,23,20,Economique,Petit,2023,2,1
ANO000311,2023-02-19,Beau Villa Agadir,Agadir,Talborjt,Villa,Location,7690,400.49,4,3,0,1998,19,28,Economique,Grand,2023,2,1
ANO000757,2023-02-20,Appartement 82m² Californie,Casablanca,Californie,Appartement,Vente,489498,82.96,1,1,1,2005,5900,21,Moyen,Moyen,2023,2,1
ANO001233,2023-02-20,Beau Terrain Meknès,Meknes,Ville Nouvelle,Terrain,Vente,628476,339.91,0,0,0,2017,1849,9,Moyen,Grand,2023,2,1
ANO000868,2023-02-20,Bureau 94m² Hassan,Rabat,Hassan,Bureau,Location,5792,94.59,0,0,3,1982,61,44,Economique,Moyen,2023,2,1
ANO000040,2023-02-22,Bureau 165m² Centre Ville,Tanger,Centre Ville,Bureau,Vente,732529,165.71,0,0,3,2016,4421,10,Moyen,Grand,2023,2,1
ANO001249,2023-02-22,Beau Appartement Casablanca,Casablanca,Bourgogne,Appartement,Location,1722,80.46,2,1,4,2004,21,22,Economique,Moyen,2023,2,1
ANO000967,2023-02-23,Appartement 92m² Centre,Kenitra,Centre,Appartement,Vente,515506,92.18,2,1,1,2009,5592,17,Moyen,Moyen,2023,2,1
ANO000518,2023-02-23,Appartement moderne Meknès,Meknes,Hamria,Appartement,Location,2102,63.05,2,2,0,2003,33,23,Economique,Petit,2023,2,1
ANO000785,2023-02-24,Terrain moderne Tanger,Tanger,Iberia,Terrain,Vente,1005071,136.09,0,0,0,2019,7385,7,Haut Standing,Moyen,2023,2,1
ANO001448,2023-02-24,Villa 405m² Meknès,Meknes,Hamria,Villa,Vente,6287847,405.87,4,2,0,2011,15492,15,Luxe,Grand,2023,2,1
ANO000506,2023-02-24,Appartement 122m² Tanger,Tanger,Iberia,Appartement,Location,2142,122.84,3,2,3,2015,17,11,Economique,Moyen,2023,2,1
ANO000243,2023-02-25,Bureau 133m² Centre Ville,Tanger,Centre Ville,Bureau,Location,120,133.9,0,0,5,2005,1,21,Economique,Moyen,2023,2,1
ANO001071,2023-02-25,Villa moderne Tétouan,Tetouan,M'diq,Villa,Vente,7775240,155.76,4,2,0,2023,49918,3,Luxe,Grand,2023,2,1
ANO001376,2023-02-26,Beau Appartement Tanger,Tanger,Malabata,Appartement,Vente,418538,62.98,1,1,1,2024,6646,2,Moyen,Petit,2023,2,1
ANO001043,2023-02-27,Appartement 117m² Souissi,Rabat,Souissi,Appartement,Vente,320877,117.96,4,3,3,2000,2720,26,Moyen,Moyen,2023,2,1
ANO001265,2023-02-27,Villa à location - Tanger,Tanger,Centre Ville,Villa,Location,9314,230.75,4,2,0,2010,40,16,Economique,Grand,2023,2,1
ANO001095,2023-02-28,Beau Terrain Kenitra,Kenitra,Centre,Terrain,Location,617,405.17,0,0,0,1997,2,29,Economique,Grand,2023,2,1
ANO000644,2023-03-01,Bureau moderne Meknès,Meknes,Hamria,Bureau,Location,7933,70.82,0,0,7,2013,112,13,Economique,Petit,2023,3,1
ANO000105,2023-03-01,Villa 315m² Hay Essalam,Kenitra,Hay Essalam,Villa,Vente,2612708,315.08,4,3,0,2020,8292,6,Haut Standing,Grand,2023,3,1
ANO000012,2023-03-02,Beau Appartement Marrakech,Marrakech,Targa,Appartement,Location,1692,105.56,2,3,2,2000,16,26,Economique,Moyen,2023,3,1
ANO001041,2023-03-02,Appartement 69m² Rabat,Rabat,Hay Riad,Appartement,Vente,491973,69.7,2,2,4,2007,7058,19,Moyen,Petit,2023,3,1
ANO001176,2023-03-02,Appartement 80m² Talborjt,Agadir,Talborjt,Appartement,Vente,409134,80.05,3,1,0,2024,5111,2,Moyen,Moyen,2023,3,1
ANO000882,2023-03-02,Appartement 57m² Rabat,Rabat,Hay Riad,Appartement,Vente,1739164,57.76,2,1,4,1988,30110,38,Haut Standing,Petit,2023,3,1
ANO000522,2023-03-03,Appartement à location - Agadir,Agadir,Talborjt,Appartement,Location,2624,103.42,2,1,3,2007,25,19,Economique,Moyen,2023,3,1
ANO001490,2023-03-03,Appartement 87m² Ville Nouvelle,Meknes,Ville Nouvelle,Appartement,Vente,600122,87.69,2,1,5,2013,6844,13,Moyen,Moyen,2023,3,1
ANO001011,2023-03-03,Beau Appartement Tanger,Tanger,Malabata,Appartement,Location,4019,68.54,4,2,1,2013,59,13,Economique,Petit,2023,3,1
ANO000849,2023-03-03,Beau Appartement Casablanca,Casablanca,Maarif,Appartement,Vente,2970687,95.82,2,1,0,1979,31003,47,Haut Standing,Moyen,2023,3,1
ANO000742,2023-03-03,Beau Appartement Oujda,Oujda,Centre,Appartement,Location,2113,68.77,1,1,3,2020,31,6,Economique,Petit,2023,3,1
ANO001037,2023-03-04,Villa 100m² Marrakech,Marrakech,Medina,Villa,Location,9701,100.41,5,3,0,2000,97,26,Economique,Moyen,2023,3,1
ANO000807,2023-03-06,Appartement 51m² Centre,Oujda,Centre,Appartement,Location,2388,51.84,2,1,1,2012,46,14,Economique,Petit,2023,3,1
ANO000210,2023-03-07,Villa 254m² Talborjt,Agadir,Talborjt,Villa,Location,23245,254.46,4,2,0,2011,91,15,Economique,Grand,2023,3,1
ANO001108,2023-03-08,Terrain moderne Meknès,Meknes,Hamria,Terrain,Vente,528780,114.12,0,0,0,2012,4634,14,Moyen,Moyen,2023,3,1
ANO000470,2023-03-08,Appartement à location - Fès,Fes,Ville Nouvelle,Appartement,Location,2921,76.93,4,2,1,1996,38,30,Economique,Petit,2023,3,1
ANO000600,2023-03-10,Terrain moderne Rabat,Rabat,Ocean,Terrain,Vente,561192,429.12,0,0,0,2000,1308,26,Moyen,Grand,2023,3,1
ANO000827,2023-03-11,Beau Villa Tétouan,Tetouan,M'diq,Villa,Vente,1530697,305.43,3,1,0,2005,5012,21,Haut Standing,Grand,2023,3,1
ANO001361,2023-03-11,Appartement 67m² Anfa,Casablanca,Anfa,Appartement,Vente,626039,67.55,2,1,1,2024,9268,2,Moyen,Petit,2023,3,1
ANO001141,2023-03-12,Beau Appartement Kenitra,Kenitra,Centre,Appartement,Vente,477117,83.07,4,3,5,2010,5744,16,Moyen,Moyen,2023,3,1
ANO001484,2023-03-12,Villa à location - Tanger,Tanger,Iberia,Villa,Location,11793,210.4,4,2,0,2006,56,20,Economique,Grand,2023,3,1
ANO001066,2023-03-13,Bureau à vente - Meknès,Meknes,Hamria,Bureau,Vente,447996,148.51,0,0,2,1994,3017,32,Moyen,Moyen,2023,3,1
ANO001028,2023-03-16,Villa 92m² Centre,Agadir,Centre,Villa,Vente,2270180,92.63,4,2,0,2001,24508,25,Haut Standing,Moyen,2023,3,1
ANO001168,2023-03-16,Appartement à vente - Tétouan,Tetouan,Centre,Appartement,Vente,1749075,86.13,3,2,6,2010,20307,16,Haut Standing,Moyen,2023,3,1
ANO000789,2023-03-16,Beau Appartement Kenitra,Kenitra,Centre,Appartement,Vente,474488,123.34,2,2,1,2005,3847,21,Moyen,Moyen,2023,3,1
ANO001179,2023-03-16,Villa à location - Casablanca,Casablanca,Ain Diab,Villa,Location,36575,377.56,5,2,0,2010,97,16,Economique,Grand,2023,3,1
ANO001380,2023-03-16,Appartement 107m² Ville Nouvelle,Fes,Ville Nouvelle,Appartement,Vente,590555,107.28,2,1,1,2002,5505,24,Moyen,Moyen,2023,3,1
ANO000917,2023-03-17,Bureau moderne Tanger,Tanger,Iberia,Bureau,Vente,1354529,111.82,0,0,0,2024,12113,2,Haut Standing,Moyen,2023,3,1
ANO000482,2023-03-17,Appartement à vente - Oujda,Oujda,Centre,Appartement,Vente,1481267,94.99,2,1,2,2004,15594,22,Haut Standing,Moyen,2023,3,1
ANO000938,2023-03-17,Appartement 128m² Hay Qods,Oujda,Hay Qods,Appartement,Vente,473733,128.47,1,1,4,2007,3687,19,Moyen,Moyen,2023,3,1
ANO000819,2023-03-18,Appartement à vente - Marrakech,Marrakech,Gueliz,Appartement,Vente,631846,122.18,1,1,2,2005,5171,21,Moyen,Moyen,2023,3,1
ANO001033,2023-03-18,Beau Bureau Oujda,Oujda,Hay Qods,Bureau,Vente,1616690,143.34,0,0,0,2008,11279,18,Haut Standing,Moyen,2023,3,1
ANO000492,2023-03-18,Beau Appartement Oujda,Oujda,Hay Qods,Appartement,Location,2207,65.38,2,2,4,2015,34,11,Economique,Petit,2023,3,1
ANO001273,2023-03-19,Appartement moderne Rabat,Rabat,Hay Riad,Appartement,Vente,504062,81.91,1,1,2,1994,6154,32,Moyen,Moyen,2023,3,1
ANO000957,2023-03-19,Terrain moderne Kenitra,Kenitra,Centre,Terrain,Location,3842,447.48,0,0,0,2004,9,22,Economique,Grand,2023,3,1
ANO000199,2023-03-19,Beau Terrain Casablanca,Casablanca,Maarif,Terrain,Vente,1111262,238.8,0,0,0,1995,4654,31,Haut Standing,Grand,2023,3,1
ANO001172,2023-03-19,Beau Appartement Tanger,Tanger,Centre Ville,Appartement,Vente,340284,95.87,1,1,1,2013,3549,13,Moyen,Moyen,2023,3,1
ANO001248,2023-03-19,Beau Appartement Fès,Fes,Ville Nouvelle,Appartement,Vente,2208512,93.04,3,2,2,2002,23737,24,Haut Standing,Moyen,2023,3,1
ANO000656,2023-03-19,Beau Bureau Casablanca,Casablanca,Hay Mohammadi,Bureau,Vente,1235832,112.11,0,0,7,1996,11023,30,Haut Standing,Moyen,2023,3,1
ANO000727,2023-03-19,Appartement 85m² Agadir,Agadir,Talborjt,Appartement,Location,11238,85.17,3,2,9,2008,132,18,Economique,Moyen,2023,3,1
ANO001137,2023-03-20,Villa moderne Agadir,Agadir,Talborjt,Villa,Location,22665,413.75,5,2,0,2004,55,22,Economique,Grand,2023,3,1
ANO001088,2023-03-20,Beau Appartement Tétouan,Tetouan,M'diq,Appartement,Location,2222,62.38,2,1,2,2019,36,7,Economique,Petit,2023,3,1
ANO001365,2023-03-21,Beau Villa Meknès,Meknes,Hamria,Villa,Vente,5829779,267.72,4,3,0,2019,21776,7,Luxe,Grand,2023,3,1
ANO000202,2023-03-21,Villa moderne Kenitra,Kenitra,Centre,Villa,Vente,8033457,283.07,5,2,0,2024,28380,2,Luxe,Grand,2023,3,1
ANO000923,2023-03-22,Villa 286m² Zouagha,Fes,Zouagha,Villa,Vente,2183194,286.38,6,4,0,1992,7623,34,Haut Standing,Grand,2023,3,1
ANO000574,2023-03-22,Appartement 97m² Zouagha,Fes,Zouagha,Appartement,Vente,1825805,97.83,3,2,8,2002,18663,24,Haut Standing,Moyen,2023,3,1
ANO001471,2023-03-23,Beau Terrain Casablanca,Casablanca,Californie,Terrain,Vente,599496,292.67,0,0,0,1984,2048,42,Moyen,Grand,2023,3,1
ANO000705,2023-03-23,Appartement à vente - Kenitra,Kenitra,Hay Essalam,Appartement,Vente,554910,59.95,2,1,1,2015,9256,11,Moyen,Petit,2023,3,1
ANO001254,2023-03-24,Appartement moderne Tétouan,Tetouan,M'diq,Appartement,Vente,547327,93.05,2,1,3,2009,5882,17,Moyen,Moyen,2023,3,1
ANO000044,2023-03-24,Duplex 72m² Fès,Fes,Ville Nouvelle,Duplex,Vente,1497915,72.47,3,1,4,2001,20669,25,Haut Standing,Petit,2023,3,1
ANO001399,2023-03-25,Villa à vente - Casablanca,Casablanca,Bourgogne,Villa,Vente,2419605,210.33,3,1,0,2016,11504,10,Haut Standing,Grand,2023,3,1
ANO001186,2023-03-26,Villa moderne Fès,Fes,Medina,Villa,Vente,2183860,301.24,4,2,0,2007,7250,19,Haut Standing,Grand,2023,3,1
ANO001323,2023-03-26,Beau Villa Tétouan,Tetouan,Centre,Villa,Vente,2355555,98.83,5,2,0,2024,23834,2,Haut Standing,Moyen,2023,3,1
ANO000481,2023-03-26,Bureau 166m² Marrakech,Marrakech,Medina,Bureau,Vente,1465153,166.94,0,0,4,2006,8777,20,Haut Standing,Grand,2023,3,1
ANO000306,2023-03-27,Villa moderne Kenitra,Kenitra,Centre,Villa,Vente,2339511,298.63,5,3,0,2011,7834,15,Haut Standing,Grand,2023,3,1
ANO001308,2023-03-27,Villa moderne Kenitra,Kenitra,Centre,Villa,Vente,6336352,222.29,6,4,0,1997,28505,29,Luxe,Grand,2023,3,1
ANO000765,2023-03-27,Terrain moderne Tétouan,Tetouan,M'diq,Terrain,Vente,825595,203.01,0,0,0,2008,4067,18,Moyen,Grand,2023,3,1
ANO000124,2023-03-28,Appartement 85m² Hivernage,Marrakech,Hivernage,Appartement,Vente,457239,85.61,1,1,2,2013,5341,13,Moyen,Moyen,2023,3,1
ANO000573,2023-03-28,Villa à vente - Kenitra,Kenitra,Centre,Villa,Vente,2365990,265.24,4,3,0,2015,8920,11,Haut Standing,Grand,2023,3,1
ANO001007,2023-03-30,Beau Appartement Casablanca,Casablanca,Bourgogne,Appartement,Location,1983,98.79,1,1,3,2018,20,8,Economique,Moyen,2023,3,1
ANO001292,2023-03-30,Appartement à location - Kenitra,Kenitra,Centre,Appartement,Location,5637,66.52,2,1,2,2019,85,7,Economique,Petit,2023,3,1
ANO000262,2023-03-30,Appartement à location - Oujda,Oujda,Hay Qods,Appartement,Location,2493,98.99,3,1,2,2018,25,8,Economique,Moyen,2023,3,1
ANO000160,2023-03-31,Appartement 161m² Meknès,Meknes,Hamria,Appartement,Vente,587350,161.97,3,2,0,2008,3626,18,Moyen,Grand,2023,3,1
ANO001224,2023-04-01,Villa 332m² Californie,Casablanca,Californie,Villa,Location,9477,332.36,4,3,0,2013,29,13,Economique,Grand,2023,4,2
